Name,City,Category,Type,Tags,Attaché Note,Website,Lat,Long,Country,Formatted Address
886,New York,Food,Taiwanese restaurant,"Food, Restaurant","Neon-lit, compact East Village space known for its modern Taiwanese specialties & on-tap sake.",http://www.eighteightsix.com/,40.7287968,-73.9887127,,
Liu dessert (Patty Liu),Vilnius,Food,Dessert restaurant,"Food, Restaurant",,http://liu-shop.lt/,54.6807582,25.2968114,Lithuania,"Užupio g. 20, 01203 Vilnius, Lithuania"
101 Bakery,Edinburgh,Food,Bakery,"Bakery, Food",,https://www.101bakery.com/,55.9376749,-3.1779657,United Kingdom,"101 Newington Rd, Edinburgh EH9 1QW, UK"
1025 Riegelmann Boardwalk,Brooklyn,Food,Building,Food,,,40.5743868,-73.9782258,United States,"1025 Riegelmann Boardwalk, Brooklyn, NY 11224, USA"
149 St-Grand Concourse,Bronx,Food,MRT/LRT Station,Food,,https://new.mta.info/,40.8183248,-73.9274121,,
18 Chapel Pl,,Food,Restaurant,"Food, Restaurant",,,51.1268682,0.2598472,,
1801 Boone Ave,The Bronx,Food,Building,Food,graffiti wall,,40.8367578,-73.8831931,United States,"1801 Boone Ave, Bronx, NY 10460, USA"
188 Bakery Cuchifritos,Bronx,Food,Puerto Rican restaurant,"Food, Restaurant",Snug counter serve specializing in homestyle Puerto Rican & Dominican plates & tropical juices.,https://www.facebook.com/188cuchifritos/,40.8615317,-73.8984583,,
2-3 Bukchon-ro 2-gil,Bukchon-ro 2-gil,Food,Restaurant,"Food, Restaurant",,,37.5777355,126.9859281,South Korea,"2-3 Bukchon-ro 2-gil, Jongno District, Seoul, South Korea"
3100 Massachusetts Ave NW,Washington,Food,Building,Food,,,38.9203646,-77.0630842,United States,"3100 Massachusetts Ave NW, Washington, DC 20008, USA"
50 Kalò,Napoli,Food,Pizza restaurant,"Food, Outdoor Seating, Restaurant","Pizzeria famed for its light crust, organic tomatoes & artisanal toppings, with outdoor seating.",http://www.xn--50kal-yta.it/,40.8283718,14.2202575,Italy,"P.za Sannazaro, 201, 80121 Napoli NA, Italy"
6 Rue du Nil,Paris,Food,Building,Food,Frenchie wine bar,,48.8678359,2.3479034,France,"6 Rue du Nil, 75002 Paris, France"
662 E 187th St,The Bronx,Food,Building,Food,,,40.8544489,-73.8859024,United States,"662 E 187th St, Bronx, NY 10458, USA"
7Stern Bräu,Neubau,Food,Brewpub,Food,"Cozy, rustic beerhall serving hearty local snacks & main meals, home-brewed beer & Austrian wines.",http://www.7stern.at/,48.202198,16.353508,Austria,"Siebensterngasse 19, 1070 Wien, Austria"
A Deux Pas,Paris,Food,Permanently closed,Food,,,48.8622863,2.3798857,France,"55 Rue Saint-Maur, 75011 Paris, France"
Absolute Bagels,New York,Food,Bagel shop,Food,"Hand-rolled, housemade bagels plus spreads & other toppers draw crowds to this bare-bones joint.",https://www.fooddiscoveryapp.com/new-york-city/absolute-bagels,40.8025065,-73.9674142,,
Abu Dhabi Dates Market,Zayed Port,Food,Market,"Food, Market","This small, popular shop features a big selection of dried fruits, nuts & sweets.",,24.5159074,54.37993,United Arab Emirates,"Zayed Port, Near Mina Market, Mina Zayed - Zayed Port - Harbour - Abu Dhabi - United Arab Emirates"
